"Reference","Value","Footprint","Qty"
"C1,C2","47uF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","2"
"C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C42,C53,C58,C69","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","42"
"C41,C44,C48,C57,C60,C64","100pF","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","6"
"C43,C56,C59,C72","10nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","4"
"C45,C50,C61,C66","1uF","Capacitor_THT:C_Rect_L7.0mm_W4.5mm_P5.00mm","4"
"C46,C47,C52,C54,C55,C62,C63,C68,C70,C71","1nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","10"
"C49,C51,C65,C67","10uF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","4"
"D1","SB140-","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"D2","SB140+","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1"
"D3,D4,D5,D6,D7,D12,D13,D14,D15,D16,D17,D18,D20,D21,D22,D23,D24,D25,D26,D31,D32,D33,D34,D35,D36,D37,D39,D40","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","28"
"D8,D9,D10,D11,D27,D28,D29,D30","LED_Red","LED_THT:LED_D3.0mm","8"
"D19,D38","ZPD10","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2"
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20","TS_Jack_6.35mm_Sw","SynthStuff:CUI_MJ-63052A","20"
"J21,J22,J23,J25,J26,J27","Conn_01x10_PinHeader","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","6"
"J24","Conn_01x06_PinHeader","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1"
"J100","IDC_02x08","SynthStuff:IDC-Header_2x08_P2.54mm_Vertical_Eurorack","1"
"J200","IDC_02x08","SynthStuff:IDC-Header_2x08_P2.54mm_Vertical_BackBone","1"
"Q1,Q2,Q11,Q12,Q17,Q18,Q27,Q28","BC558","Package_TO_SOT_THT:TO-92L_Inline_Wide","8"
"Q3,Q4,Q7,Q8,Q9,Q10,Q13,Q14,Q15,Q16,Q19,Q20,Q23,Q24,Q25,Q26,Q29,Q30,Q31,Q32","BC548","Package_TO_SOT_THT:TO-92L_Inline_Wide","20"
"Q5,Q6,Q21,Q22","MMBFJ113","Package_TO_SOT_THT:TO-92L_Inline","4"
"R1,R10,R51,R66,R83,R98,R107,R148,R163,R180","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10"
"R2,R3,R8,R11,R12,R14,R16,R18,R19,R21,R26,R32,R33,R34,R36,R37,R39,R40,R42,R46,R53,R54,R62,R64,R68,R69,R70,R71,R72,R79,R81,R89,R92,R93,R94,R96,R97,R99,R100,R105,R108,R109,R111,R113,R115,R116,R118,R123,R129,R130,R131,R133,R134,R136,R137,R139,R143,R150,R151,R159,R161,R165,R166,R167,R168,R169,R176,R178,R186,R189,R190,R191,R193,R194","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","74"
"R4,R41,R101,R138","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"R5,R23,R102,R120","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"R6,R103","82k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2"
"R7,R13,R24,R25,R31,R35,R38,R43,R45,R47,R50,R59,R61,R63,R76,R78,R80,R104,R110,R121,R122,R128,R132,R135,R140,R142,R144,R147,R156,R158,R160,R173,R175,R177","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","34"
"R9,R17,R20,R106,R114,R117","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6"
"R15,R22,R90,R91,R95,R112,R119,R187,R188,R192","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10"
"R27,R28,R29,R30,R124,R125,R126,R127","2k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8"
"R44,R141","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2"
"R48,R55,R56,R65,R73,R82,R145,R152,R153,R162,R170,R179","300k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","12"
"R49,R58,R75,R146,R155,R172","75k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6"
"R52,R60,R77,R149,R157,R174","8k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","6"
"R57,R74,R154,R171","220k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4"
"R67,R164","127k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2"
"R84,R85,R86,R87,R181,R182,R183,R184","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","8"
"R88,R185","68K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2"
"RV1,RV19,RV20,RV21,RV22,RV40,RV41,RV42","100k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","8"
"RV2,RV23","50k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","2"
"RV3,RV24","10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","2"
"RV4,RV25","20k","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","2"
"RV5,RV7,RV8,RV10,RV26,RV28,RV29,RV31","100k","SynthStuff:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","8"
"RV6,RV9,RV11,RV13,RV15,RV17,RV27,RV30,RV32,RV34,RV36,RV38","50k","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","12"
"RV12,RV14,RV16,RV18,RV33,RV35,RV37,RV39","100k","SynthStuff:Potentiometer_TT_P110KH1","8"
"SW1,SW5","SW_DPDT_x2_On-Off-(On)","SynthStuff:Toggle_Switch_2_Poles_TE","2"
"SW2,SW4","SW_DPDT_x2","SynthStuff:Toggle_Switch_2_Poles_TE","2"
"SW3","SW_SPDT","SynthStuff:Toggle_Switch_TE","1"
"U1,U5,U7,U8,U9,U10,U11,U15,U17,U18,U19,U20,U21,U23","TL074","Package_DIP:DIP-14_W7.62mm_Socket","14"
"U2,U6,U12,U16","4001","Package_DIP:DIP-14_W7.62mm_Socket","4"
"U3,U13","40106","Package_DIP:DIP-14_W7.62mm_Socket","2"
"U4,U14,U22,U24","CD4066BE","Package_DIP:DIP-14_W7.62mm","4"
